EMD_CD,EMD_NM,PRED_SEVERITY,RISK_LEVEL,AVG_RN1,TOTAL_RN1,AVG_WATL,AVG_ELEVATION,DONG_AREA_KM2
11140129,남산동2가,0.0,안전,0.0,0.0,0.0,51.485126666666666,0.0723944525506883
11140111,소공동,0.0,안전,0.0,0.0,0.0,32.0163715,0.0821530758982841
11140113,북창동,0.0,안전,0.0,0.0,0.0,32.001224,0.0441382789949945
11140155,을지로3가,0.0,안전,0.0,0.0,0.0,24.836450444444445,0.0831091552800725
11140170,충정로1가,0.0,안전,0.0,0.0,0.0,38.50194966666667,0.0336108010240044
11140148,을지로6가,0.0,안전,0.0,0.0,0.0,20.56311338095238,0.1850070914026748
11140127,명동2가,0.0,안전,0.0,0.0,0.0,34.65250014285714,0.1176061238633686
11140104,을지로1가,0.0,안전,0.0,0.0,0.0,28.511363285714285,0.0622996953065153
11140110,수표동,0.0,안전,0.0,0.0,0.0,22.24304566666667,0.0351983205154134
11140149,을지로7가,0.0,안전,0.0,0.0,0.0,22.0377399,0.0919583301436025
11140153,방산동,0.0,안전,0.0,0.0,0.0,19.93236175,0.0590574493594572
11140168,순화동,0.0,안전,0.0,0.0,0.0,33.0577641875,0.1433995988265582
11140118,남대문로5가,0.0,안전,0.0,0.0,0.0,44.360878541666665,0.2281683992893264
11140117,남대문로4가,0.0,안전,0.0,0.0,0.0,36.46628785714286,0.0548888087935855
11140119,봉래동1가,0.0,안전,0.0,0.0,0.0,32.66208875,0.0412949900772626
11140112,남창동,0.0,안전,0.0,0.0,0.0,43.0337945625,0.1386913927954977
11140164,무학동,0.0,안전,0.0,0.0,0.0,22.030241,0.0272208117473914
11140163,흥인동,0.0,안전,0.0,0.0,0.0,20.590241,0.1246933435581089
11140174,만리동2가,0.0,안전,0.0,0.0,0.0,70.96450713333334,0.1439727398956563
11140167,정동,0.0,안전,0.0,0.0,0.0,38.485742,0.3030138561023702
11140142,예장동,0.0,안전,0.0,0.0,0.0,118.2127552631579,0.6789662576147336
11140171,중림동,0.0,안전,0.0,0.0,0.0,46.339695086956525,0.227682433844324
11140162,신당동,0.0,안전,0.0,0.0,0.0,45.43571935766423,2.3901568117898595
11140120,봉래동2가,0.0,안전,0.0,0.0,0.0,27.23390482352941,0.1300335088489349
11140121,회현동1가,0.0,안전,0.0,0.0,0.0,73.01468311111111,0.2989560052037214
11140173,만리동1가,0.0,안전,0.0,0.0,0.0,46.5786713,0.0699083321150578
11140103,태평로1가,0.0,안전,0.0,0.0,0.0,31.176811777777782,0.074421195093709
11140102,다동,0.0,안전,0.0,0.0,0.0,27.6113275,0.05853580950169
11140101,무교동,0.0,안전,0.0,0.0,0.0,28.912833,0.0321976736372937
11140152,주교동,0.0,안전,0.0,0.0,0.0,21.66830225,0.0730020369700569
11140157,산림동,0.0,안전,0.0,0.0,0.0,22.910794166666665,0.0448723577155242
11140108,수하동,0.0,안전,0.0,0.0,0.0,25.934542,0.018328011737068
11140124,충무로1가,0.0,안전,0.0,0.0,0.0,34.250128333333336,0.0594307027016473
11140125,충무로2가,0.0,안전,0.0,0.0,0.0,38.07910144444444,0.0690497825567046
11140116,남대문로3가,0.0,안전,0.0,0.0,0.0,34.459441,0.0340157242301019
11140115,남대문로2가,0.0,안전,0.0,0.0,0.0,29.543414,0.0262286181746562
11140166,서소문동,0.0,안전,0.0,0.0,0.0,36.93628546153846,0.1153618328287784
