EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11560115,당산동5가,289600.2761349213,0.2896002761349213
11560116,당산동6가,166855.81653314276,0.16685581653314277
11560117,당산동,808335.9208761977,0.8083359208761978
11560118,도림동,587545.5704389618,0.5875455704389618
11560119,문래동1가,164063.91096292058,0.16406391096292058
11560120,문래동2가,143418.23966063303,0.14341823966063302
11560121,문래동3가,672332.796126005,0.672332796126005
11560122,문래동4가,176563.8857183109,0.1765638857183109
11560123,문래동5가,297961.944947386,0.297961944947386
11560124,문래동6가,320344.9634234646,0.32034496342346463
11560125,양평동1가,232337.52266306826,0.23233752266306826
11560126,양평동2가,191079.6641576456,0.1910796641576456
11560127,양평동3가,475774.13637571596,0.475774136375716
11560128,양평동4가,374846.6672061586,0.3748466672061586
11560129,양평동5가,222844.457227299,0.22284445722729898
11560130,양평동6가,125041.17166726834,0.12504117166726833
11560131,양화동,1696312.0048388545,1.6963120048388545
11560132,신길동,3612476.6652121576,3.612476665212158
11560133,대림동,1998175.3231536238,1.998175323153624
11560134,양평동,568043.6519186811,0.5680436519186811
11590101,노량진동,1471017.100419081,1.471017100419081
11590102,상도동,3553696.4667835697,3.5536964667835695
11590103,상도1동,315088.17736157123,0.31508817736157124
11590104,본동,757110.3982620673,0.7571103982620674
11590105,흑석동,1675755.0893430177,1.6757550893430178
11590106,동작동,2131769.339987519,2.1317693399875193
11590107,사당동,3290562.623142278,3.2905626231422778
11590108,대방동,1533561.851942115,1.533561851942115
11590109,신대방동,1659771.6854133995,1.6597716854133995
11620101,봉천동,8153210.464724782,8.153210464724783
11620102,신림동,18133324.38720854,18.13332438720854
11620103,남현동,3276651.84547419,3.27665184547419
11650101,방배동,6685180.8282547705,6.6851808282547704
11650102,양재동,4071196.3496464207,4.071196349646421
11650103,우면동,4138110.1922946563,4.138110192294656
11650104,원지동,5124062.850022307,5.124062850022307
11650106,잠원동,3007778.292754354,3.007778292754354
11650107,반포동,4789329.163068052,4.789329163068053
11650108,서초동,6399490.73237439,6.39949073237439
11650109,내곡동,8275608.863898122,8.275608863898121
11650110,염곡동,1645961.651620911,1.645961651620911
11650111,신원동,2751468.9044679445,2.7514689044679446
11680101,역삼동,3497174.771144243,3.497174771144243
11680103,개포동,5430800.765679168,5.430800765679168
11680104,청담동,2333502.9649676657,2.3335029649676655
11680105,삼성동,3190517.346903122,3.190517346903122
11680106,대치동,3792437.051832669,3.792437051832669
11680107,신사동,1718427.8432264104,1.7184278432264104
11680108,논현동,2717265.4813285656,2.7172654813285657
11680110,압구정동,2686044.864505654,2.686044864505654
11680111,세곡동,2422147.645202247,2.422147645202247
11680112,자곡동,2678389.9838921907,2.6783899838921905
11680113,율현동,1267236.875399661,1.267236875399661
11680114,일원동,3095973.227196896,3.095973227196896
11680115,수서동,2625210.2837049975,2.6252102837049973
11680118,도곡동,2041355.158975801,2.0413551589758008
11710101,잠실동,5210962.916275381,5.210962916275381
11710102,신천동,4348007.098159457,4.3480070981594565
11710103,풍납동,2353585.95655712,2.35358595655712
11710104,송파동,1317948.36279951,1.3179483627995099
11710105,석촌동,946914.3443481156,0.9469143443481156
11710106,삼전동,953442.154832866,0.9534421548328661
11710107,가락동,3429705.622882095,3.429705622882095
11710108,문정동,2608057.420710288,2.608057420710288
11710109,장지동,2716558.392858356,2.7165583928583557
11710111,방이동,4465321.831759843,4.465321831759843
11710112,오금동,1648776.375006302,1.648776375006302
11710113,거여동,2389657.9250959354,2.3896579250959356
11710114,마천동,1467899.1021176872,1.4678991021176873
11740101,명일동,1572131.8379957115,1.5721318379957114
11740102,고덕동,4011089.9482828714,4.011089948282871
11740103,상일동,2920730.705876587,2.920730705876587
11740105,길동,1612791.420063285,1.612791420063285
11740106,둔촌동,2462934.9543647696,2.4629349543647696
11740107,암사동,4692446.044217444,4.692446044217444
11740108,성내동,1957705.0433756197,1.9577050433756198
11740109,천호동,3061623.818718531,3.061623818718531
11740110,강일동,2267708.8061173144,2.2677088061173145
