EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL
11350105,상계동,2026-06-09 06:03,2026-06-09 03:03,2.012465536730563e-06,안전
11350102,월계동,2026-06-09 06:03,2026-06-09 03:03,2.304828456762539e-06,안전
11380106,대조동,2026-06-09 06:03,2026-06-09 03:03,2.0167635651984078e-08,안전
11380114,진관동,2026-06-09 06:03,2026-06-09 03:03,9.90684913930931e-05,안전
11380104,갈현동,2026-06-09 06:03,2026-06-09 03:03,1.492623211243071e-08,안전
11380105,구산동,2026-06-09 06:03,2026-06-09 03:03,2.2753084409935692e-08,안전
11380103,불광동,2026-06-09 06:03,2026-06-09 03:03,7.844056693516034e-08,안전
11380110,증산동,2026-06-09 06:03,2026-06-09 03:03,9.366348605644961e-09,안전
11380109,신사동,2026-06-09 06:03,2026-06-09 03:03,1.5124770854707732e-08,안전
11380102,녹번동,2026-06-09 06:03,2026-06-09 03:03,9.250117028030799e-07,안전
11380107,응암동,2026-06-09 06:03,2026-06-09 03:03,1.2003138167670276e-06,안전
11380108,역촌동,2026-06-09 06:03,2026-06-09 03:03,5.5334625795942105e-08,안전
11380101,수색동,2026-06-09 06:03,2026-06-09 03:03,2.865570260737185e-07,안전
