F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.1,417.30644089,서울특별시 은평구 불광동 486-2 지층,2025,41.730644089,0.00023963205501148624,낮음
0.1,92.96482882,서울특별시 은평구 응암동 583-16 b01호,2025,9.296482882,0.0010756756212999825,낮음
0.1,127.33853615,서울특별시 은평구 응암동 594-14 지층 101호,2025,12.733853615000001,0.0007853082265858921,낮음
0.1,138.15614738,서울특별시 은평구 불광동 353-16 지층 우측,2025,13.815614738,0.0007238186783317641,낮음
0.1,139.14574104,서울특별시 은평구 역촌동 47-16 B02호,2025,13.914574104,0.0007186709363332448,낮음
0.1,213.12623132,서울특별시 은평구 응암동 593-26 동화아르빌 B01호,2025,21.312623132,0.00046920550033024446,낮음
0.1,272.89227237,서울특별시 은평구 증산동 184-16 B02호,2025,27.289227237000002,0.0003664449679411052,낮음
0.1,3309.53888939,서울특별시 은평구 증산동 184-9 지층,2025,330.953888939,3.021568966014827e-05,낮음
0.1,141.58113939,서울특별시 은평구 불광동 242-13 지층1호,2025,14.158113939000001,0.000706308767049399,낮음
0.1,190.55792038,서울특별시 은평구 불광동 242-12   지층 좌측,2025,19.055792038000003,0.0005247748285696315,낮음
0.1,167.9510134,서울특별시 은평구 응암동 593-38 지층 101호,2025,16.79510134,0.0005954117094955261,낮음
0.1,326.80608349,서울특별시 은평구 응암동 590-35 나동,2025,32.680608349,0.0003059918558800633,낮음
0.1,354.68750086,서울특별시 은평구 역촌동 81-6 203호,2025,35.468750086,0.00028193832530758217,낮음
0.1,28.17804067,서울특별시 은평구 녹번동 221-15,2025,2.8178040670000004,0.003548862788975455,낮음
0.1,844.77754594,서울특별시 은평구 응암동 591-3 해창위너스빌라 B동 101호,2025,84.477754594,0.00011837435841021095,낮음
0.1,165.18943996,서울특별시 은평구 응암동 749-43 지층 우측,2025,16.518943996,0.000605365573151738,낮음
0.1,312.4426653,서울특별시 은평구 갈현동 455-9 지층,2025,31.24426653,0.0003200587215064959,낮음
0.1,116.04582585,서울특별시 은평구 불광동 314-19 b01호,2025,11.604582585000001,0.0008617285392863616,낮음
0.1,138.84943376,서울특별시 은평구 불광동 367-9,2025,13.884943376000003,0.0007202045935084554,낮음
0.1,146.09372596,서울특별시 은평구 응암동 397-282 지하 2호,2025,14.609372596,0.0006844920912440804,낮음
0.1,232.4395997,서울특별시 은평구 응암동 397-265 지층 02호,2025,23.243959970000002,0.0004302192919324667,낮음
0.1,150.67800803,서울특별시 은평구 응암동 588-17 지층 뒤쪽,2025,15.067800803,0.0006636668569449763,낮음
0.1,186.3916121,서울특별시 은평구 응암동 376-60 지층 1호,2025,18.63916121,0.0005365048291247651,낮음
0.1,84.21797926,서울특별시 은평구 대조동 9-53 지층우측,2025,8.421797926000002,0.0011873949111421602,낮음
0.1,201.54459923,서울특별시 은평구 불광동 366-1 1층,2025,20.154459923,0.0004961680957071013,낮음
0.1,146.12935557,서울특별시 은평구 갈현동 416-8 1층,2025,14.612935557,0.0006843251967404814,낮음
0.1,146.04614558,서울특별시 은평구 구산동 321-54 지층1호,2025,14.604614558000002,0.0006847150919516927,낮음
0.1,152.99450978,서울특별시 은평구 구산동 321-84 B02호,2025,15.299450978,0.000653618225541531,낮음
0.1,136.7352217,서울특별시 은평구 구산동 323-4,2025,13.673522170000002,0.0007313404604660103,낮음
0.1,134.70795948,서울특별시 은평구 구산동 323-7 지하,2025,13.470795948000001,0.0007423466318250254,낮음
0.1,106.1245448,서울특별시 은평구 구산동 323-25 지하1층,2025,10.61245448,0.0009422890829681091,낮음
0.1,135.24789548,서울특별시 은평구 불광동 242-19 지하 좌측,2025,13.524789548000001,0.0007393830391600264,낮음
0.1,228.50190681,서울특별시 은평구 불광동 184-5 1층,2025,22.850190681,0.00043763310948275933,낮음
0.1,204.24836837,서울특별시 은평구 불광동 189 1층,2025,20.424836837,0.0004895999943502511,낮음
0.1,88.37959357,서울특별시 은평구 불광동 279-4 지층 우측,2025,8.837959357,0.0011314829131998238,낮음
0.1,135.71951753,서울특별시 은평구 응암동 594-96 지층 우,2025,13.571951753,0.0007368137009321125,낮음
0.1,77.05355008,서울특별시 은평구 신사동 237-291 B01호,2025,7.705355008,0.0012977987373219808,낮음
0.1,149.45289892,서울특별시 은평구 불광동 242-28 지층 안쪽,2025,14.945289892,0.0006691071282165532,낮음
0.1,138.48468761,서울특별시 은평구 불광동 242-33 좌측,2025,13.848468761000001,0.0007221014953048065,낮음
0.1,1529.98872124,서울특별시 은평구 갈현동 548 130호,2025,152.998872124,6.535995894071275e-05,낮음
0.1,4917.23175006,서울특별시 은평구 진관동 66 B102호,2025,491.723175006,2.0336645715097687e-05,낮음
0.1,163.67491685,서울특별시 은평구 진관동 산27-2,2025,16.367491685,0.0006109671654310055,낮음
0.1,114.33163861,서울특별시 은평구 불광동 281-132 지층2호,2025,11.433163861,0.0008746485331248766,낮음
0.1,117.76419006,서울특별시 은평구 불광동 281-75 지층,2025,11.776419006000001,0.0008491545685411731,낮음
0.1,133.81499737,서울특별시 은평구 응암동 583-49 지층 1,2025,13.381499736999999,0.0007473003920741325,낮음
0.1,233.14576971,서울특별시 은평구 불광동 242-39 지하101호,2025,23.314576971,0.00042891621033650196,낮음
0.1,248.77620362,서울특별시 은평구 역촌동 27-25 1층,2025,24.877620362000002,0.00040196770649634855,낮음
0.1,183.56540303,서울특별시 은평구 불광동 242-42 지층 101호,2025,18.356540303,0.0005447649630560125,낮음
0.1,151.26425731,서울특별시 은평구 불광동 242-48 지층2호,2025,15.126425731000001,0.0006610947078863491,낮음
0.1,583.79555511,서울특별시 은평구 구산동 22-34 에이동 101호,2025,58.37955551100001,0.00017129284237383033,낮음
0.1,240.97634521,서울특별시 은평구 불광동 244-81 102호,2025,24.097634521000003,0.00041497849057696727,낮음
